id,count,mean,std,min,max
individual_1,2000,2.842170943040401e-17,0.9999999999999998,-0.4862429451485754,5.334743498964332
individual_10,2020,-2.110522977505248e-16,0.9999999999999999,-1.6301312902878378,3.431719769104986
individual_11,360,-3.947459643111668e-17,1.0,-0.4146685203265354,3.2055652227955167
individual_12,2000,1.7053025658242405e-16,1.0,-0.7127500206413037,5.931515313279996
individual_13,2000,1.8474111129762604e-16,1.0,-1.0118412247747428,4.671038244113275
individual_14,2000,8.526512829121202e-17,1.0,-0.35234067911975586,6.52480357916437
individual_15,2269,-1.0020875956070166e-16,1.0,-2.26482548947284,2.762127131671302
individual_16,2003,-5.675828143865004e-17,0.9999999999999999,-1.179095557176876,3.4496988250165193
individual_17,2000,-2.1316282072803005e-16,0.9999999999999999,-1.1480942841372708,3.487338859057731
individual_18,2000,1.7053025658242405e-16,0.9999999999999999,-2.808320978176086,1.2624835928932314
individual_19,2000,-1.0658141036401502e-16,1.0,-1.646414845610845,1.8703149347108825
individual_2,2006,-1.1334679732962714e-16,1.0,-0.5967317853111189,4.940026290005235
individual_20,2000,-2.5579538487363605e-16,0.9999999999999999,-2.8257632145276106,2.530494719925952
individual_21,2242,4.1200069424091446e-16,1.0,-2.8382195792810476,1.8420594717959253
individual_22,2141,-5.309987749725176e-17,1.0,-2.2238180424343073,1.8826283868972329
individual_23,2000,-5.258016244624741e-16,0.9999999999999999,-1.5123337197885616,3.2225356268947754
individual_3,2000,-2.842170943040401e-17,1.0,-2.066162624277724,2.1961890191492848
individual_4,2020,-5.628061273347328e-17,1.0,-0.4238699870112734,4.5294389373889015
individual_5,2000,2.842170943040401e-17,1.0,-0.7836812627301768,4.845698910296788
individual_6,2007,-1.1329032159602992e-16,1.0,-1.1537172419775037,2.5211732965484677
individual_7,2007,-1.1329032159602992e-16,1.0,-1.1537172419775037,2.5211732965484677
individual_8,2000,3.1263880373444406e-16,1.0,-2.1459460855901864,2.1214583600390333
individual_9,2099,1.354059525031158e-17,1.0,-3.8464760990092857,2.5989305871349444
