subject,iti_mean,iti_var,tap_rate,label
neurotypical_individual_1,0.8750000000000001,0.0,1.0,0
neurotypical_individual_10,1.309,0.0,1.0,0
neurotypical_individual_11,0.3095000000000001,0.0026522500000000105,1.5,0
neurotypical_individual_12,0.29933333333333334,0.010560888888888897,2.0,0
neurotypical_individual_15,0.22899999999999998,0.0008410000000000015,1.5,0
neurotypical_individual_16,1.309,0.0,1.0,0
neurotypical_individual_19,0.7295,0.00021024999999999717,1.5,0
neurotypical_individual_2,0.264,0.0,1.0,0
neurotypical_individual_20,0.41300000000000003,0.0,1.0,0
neurotypical_individual_3,0.2740000000000001,0.0,1.0,0
neurotypical_individual_4,0.41300000000000003,0.0,1.0,0
neurotypical_individual_5,0.7295,0.00021024999999999717,1.5,0
neurotypical_individual_8,0.561,0.17551399999999995,2.0,0
neurodivergent_individual_10,0.7020000000000001,0.02689600000000001,1.4851485148514851,1
neurodivergent_individual_12,0.392,2.5000000000000045e-05,1.5,1
neurodivergent_individual_13,0.6020000000000001,0.040401000000000006,1.5,1
neurodivergent_individual_15,0.30666666666666664,0.004856555555555552,3.0850594975760246,1
neurodivergent_individual_16,0.44299999999999995,0.0,0.9985022466300548,1
neurodivergent_individual_17,1.0330000000000001,0.0,1.0,1
neurodivergent_individual_23,0.74,0.0,1.0,1
neurodivergent_individual_3,0.965,0.0,1.0,1
neurodivergent_individual_5,0.31233333333333335,0.009121555555555565,2.0,1
neurodivergent_individual_6,0.412,0.0,0.996512207274539,1
neurodivergent_individual_7,0.412,0.0,0.996512207274539,1
